日期,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
2023-09-14,0.993,0.986,0.993,0.98,1844869,182342966.0,1.3,-1.1,-0.011,7.5
2023-09-15,0.987,0.987,0.994,0.982,989807,97704051.0,1.22,0.1,0.001,4.03
2023-09-18,0.987,0.994,0.996,0.98,1137413,112949806.0,1.62,0.71,0.007,4.63
2023-09-19,0.993,0.983,0.993,0.98,632117,62164243.0,1.31,-1.11,-0.011,2.57
2023-09-20,0.98,0.972,0.982,0.971,1065426,104060465.0,1.12,-1.12,-0.011,4.33
2023-09-21,0.969,0.964,0.974,0.962,465599,45027902.0,1.23,-0.82,-0.008,1.89
2023-09-22,0.962,0.984,0.984,0.959,922011,89819081.0,2.59,2.07,0.02,3.75
2023-09-25,0.98,0.982,0.987,0.977,543716,53422743.0,1.02,-0.2,-0.002,2.21
2023-09-26,0.979,0.979,0.984,0.976,670257,65670964.0,0.81,-0.31,-0.003,2.73
2023-09-27,0.979,0.981,0.988,0.974,608291,59742968.0,1.43,0.2,0.002,2.47
2023-09-28,0.986,0.994,0.996,0.985,870468,86227521.0,1.12,1.33,0.013,3.54
2023-10-09,0.99,0.992,0.994,0.986,943219,93401753.0,0.8,-0.2,-0.002,3.84
2023-10-10,0.993,0.988,0.996,0.987,737504,73173548.0,0.91,-0.4,-0.004,3.0
2023-10-11,0.991,0.991,0.995,0.984,704797,69827263.0,1.11,0.3,0.003,2.87
2023-10-12,1.0,0.996,1.0,0.989,565600,56158577.0,1.11,0.5,0.005,2.3
2023-10-13,0.994,0.99,0.994,0.989,384682,38101207.0,0.5,-0.6,-0.006,1.56
2023-10-16,0.983,0.983,0.992,0.979,484358,47629069.0,1.31,-0.71,-0.007,1.97
2023-10-17,0.983,0.98,0.983,0.973,409933,40039685.0,1.02,-0.31,-0.003,1.67
2023-10-18,0.976,0.962,0.976,0.96,782426,75479404.0,1.63,-1.84,-0.018,3.18
2023-10-19,0.958,0.957,0.97,0.953,598308,57549083.0,1.77,-0.52,-0.005,2.43
2023-10-20,0.953,0.946,0.96,0.942,827267,78633243.0,1.88,-1.15,-0.011,3.36
2023-10-23,0.938,0.919,0.941,0.915,817938,75823145.0,2.75,-2.85,-0.027,3.33
2023-10-24,0.925,0.94,0.944,0.919,673912,63108283.0,2.72,2.29,0.021,2.74
2023-10-25,0.947,0.958,0.961,0.941,543877,52034119.0,2.13,1.91,0.018,2.21
2023-10-26,0.953,0.964,0.966,0.942,748132,71595859.0,2.51,0.63,0.006,3.04
2023-10-27,0.96,0.975,0.979,0.957,713364,69031689.0,2.28,1.14,0.011,2.9
2023-10-30,0.974,0.985,0.987,0.971,687282,67386072.0,1.64,1.03,0.01,2.8
2023-10-31,0.984,0.976,0.986,0.974,631647,62006564.0,1.22,-0.91,-0.009,2.57
2023-11-01,0.979,0.982,0.985,0.977,751708,73803663.0,0.82,0.61,0.006,3.06
2023-11-02,0.982,0.972,0.988,0.971,515970,50457835.0,1.73,-1.02,-0.01,2.1
2023-11-03,0.972,0.984,0.987,0.972,466662,45862827.0,1.54,1.23,0.012,1.9
2023-11-06,0.989,1.005,1.005,0.986,830507,83071644.0,1.93,2.13,0.021,3.38
2023-11-07,1.001,1.014,1.017,1.001,817216,82456123.0,1.59,0.9,0.009,3.32
2023-11-08,1.014,1.02,1.022,1.011,652998,66449372.0,1.08,0.59,0.006,2.66
2023-11-09,1.024,1.014,1.024,1.009,769732,78068007.0,1.47,-0.59,-0.006,3.13
2023-11-10,1.01,1.009,1.013,1.003,683519,68964670.0,0.99,-0.49,-0.005,2.78
2023-11-13,1.013,1.023,1.024,1.011,598274,60851296.0,1.29,1.39,0.014,2.43
2023-11-14,1.02,1.028,1.03,1.019,700586,71766771.0,1.08,0.49,0.005,2.85
2023-11-15,1.045,1.036,1.045,1.03,753869,78022513.0,1.46,0.78,0.008,3.07
2023-11-16,1.036,1.033,1.039,1.028,768214,79535456.0,1.06,-0.29,-0.003,3.12
2023-11-17,1.028,1.042,1.044,1.027,623624,64614836.0,1.65,0.87,0.009,2.54
2023-11-20,1.044,1.05,1.054,1.04,1013635,106235069.0,1.34,0.77,0.008,4.12
